Date,Price
2024-11-13,44.6625
2024-11-12,44.8875
2024-11-11,44.8725
2024-11-08,42.435
2024-11-07,41.6675
2024-11-06,42.9225
2024-11-05,38.7275
2024-11-04,38.4825
2024-11-01,38.445
2024-10-31,38.145
2024-10-30,38.56
2024-10-29,38.21
2024-10-28,37.7475
2024-10-25,36.7925
2024-10-24,37.05
2024-10-23,36.86
2024-10-22,37.165
2024-10-21,37.41
2024-10-18,37.2025
2024-10-17,37.3575
2024-10-16,36.695
2024-10-15,38.245
2024-10-14,37.825
2024-10-11,37.785
2024-10-10,37.1575
2024-10-09,37.3825
2024-10-08,36.8975
2024-10-07,37.1425
2024-10-04,36.9625
2024-10-03,36.195
2024-10-02,35.655
2024-10-01,34.5675
2024-09-30,34.84
2024-09-27,34.3825
2024-09-26,34.18
2024-09-25,34.05
2024-09-24,34.0275
2024-09-23,33.7975
2024-09-20,33.255
2024-09-19,33.1125
2024-09-18,32.545
2024-09-17,32.9525
2024-09-16,32.1475
2024-09-13,32.0175
2024-09-12,30.9
2024-09-11,30.6925
2024-09-10,30.5125
2024-09-09,31.055
2024-09-06,30.635
2024-09-05,31.515
2024-09-04,31.38
2024-09-03,31.85
2024-08-30,32.2225
2024-08-29,31.7675
2024-08-28,31.58
2024-08-27,31.78
2024-08-26,31.075
2024-08-23,30.85
2024-08-22,31.025
2024-08-21,30.8375
2024-08-20,30.19
2024-08-19,30.4875
2024-08-16,30.215
2024-08-15,30.065
2024-08-14,29.515
2024-08-13,29.395
2024-08-12,29.4825
2024-08-09,29.1375
2024-08-08,28.87
2024-08-07,28.1925
2024-08-06,27.63
2024-08-05,27.1625
2024-08-02,28.1325
2024-08-01,29.7525
2024-07-31,29.8175
2024-07-30,29.74
2024-07-29,29.9075
2024-07-26,29.7
2024-07-25,29.6425
2024-07-24,29.53
2024-07-23,30.5175
2024-07-22,30.575
2024-07-19,30.1625
2024-07-18,29.9
2024-07-17,30.8425
2024-07-16,30.915
2024-07-15,31.165
2024-07-12,30.4025
2024-07-11,30.2625
2024-07-10,31.205
2024-07-09,31.3125
2024-07-08,30.8675
2024-07-05,30.995
2024-07-03,31.3825
2024-07-02,31.925
2024-07-01,31.6875
2024-06-28,30.65
2024-06-27,30.7475
2024-06-26,30.75
2024-06-25,30.5275
2024-06-24,30.265
2024-06-21,30.045
2024-06-20,30.0625
2024-06-18,29.935
2024-06-17,30.265
2024-06-14,30.035
2024-06-13,30.3175
2024-06-12,30.4275
2024-06-11,30.8375
2024-06-10,31.365
2024-06-07,30.935
2024-06-06,30.6525
2024-06-05,31.365
2024-06-04,31.175
2024-06-03,31.6475
2024-05-31,31.43
2024-05-30,31.885
2024-05-29,31.9875
2024-05-28,32.15
2024-05-24,32.0
2024-05-23,31.105
2024-05-22,31.265
2024-05-21,31.65
2024-05-20,31.3875
2024-05-17,30.955
2024-05-16,30.455
2024-05-15,30.5025
2024-05-14,30.45
2024-05-13,30.0625
2024-05-10,30.0275
2024-05-09,29.7825
2024-05-08,29.93
2024-05-07,30.135
2024-05-06,30.5025
2024-05-03,30.03
2024-05-02,29.95
2024-05-01,29.225
2024-04-30,28.78
2024-04-29,29.1825
2024-04-26,29.0375
2024-04-25,29.335
2024-04-24,28.91
2024-04-23,28.6725
2024-04-22,28.28
2024-04-19,27.8875
2024-04-18,27.65
2024-04-17,27.3075
2024-04-16,26.8475
2024-04-15,27.29
2024-04-12,27.5975
2024-04-11,28.04
2024-04-10,28.375
2024-04-09,27.775
2024-04-08,28.5925
2024-04-05,28.1675
2024-04-04,27.7575
2024-04-03,28.69
2024-04-02,28.6175
2024-04-01,28.0125
2024-03-28,27.9275
2024-03-27,27.8575
2024-03-26,27.56
2024-03-25,27.28
2024-03-22,27.1175
2024-03-21,27.4875
2024-03-20,27.2
2024-03-19,26.8675
2024-03-18,26.985
2024-03-15,26.86
2024-03-14,26.9575
2024-03-13,27.115
2024-03-12,27.275
2024-03-11,26.9325
2024-03-08,26.9775
2024-03-07,27.3025
2024-03-06,27.5
2024-03-05,27.4025
2024-03-04,27.765
2024-03-01,27.62
2024-02-29,27.18
2024-02-28,27.1475
2024-02-27,26.7725
2024-02-26,26.9475
2024-02-23,26.68
2024-02-22,26.69
2024-02-21,26.265
2024-02-20,25.835
2024-02-16,26.1325
2024-02-15,26.1475
2024-02-14,25.2625
2024-02-13,25.2425
2024-02-12,24.54
2024-02-09,24.515
2024-02-08,23.8425
2024-02-07,23.61
2024-02-06,23.255
2024-02-05,23.765
2024-02-02,24.0325
2024-02-01,22.7175
2024-01-31,22.1875
2024-01-30,22.43
2024-01-29,22.5875
2024-01-26,22.935
2024-01-25,22.615
2024-01-24,22.9525
2024-01-23,22.8525
2024-01-22,22.775
2024-01-19,22.4475
2024-01-18,22.205
2024-01-17,22.2975
2024-01-16,21.795
2024-01-12,22.09
2024-01-11,21.96
2024-01-10,21.7525
2024-01-09,21.93
2024-01-08,21.9125
2024-01-05,21.98
2024-01-04,21.8
2024-01-03,21.6575
2024-01-02,21.1375
2023-12-29,20.725
2023-12-28,20.7875
2023-12-27,20.655
2023-12-26,20.78
2023-12-22,20.5275
2023-12-21,20.5275
2023-12-20,20.365
2023-12-19,20.625
2023-12-18,20.2825
2023-12-15,19.9475
2023-12-14,20.3325
2023-12-13,20.3
2023-12-12,20.9375
2023-12-11,20.99
2023-12-08,20.7875
2023-12-07,20.2025
2023-12-06,20.0225
2023-12-05,19.7175
2023-12-04,19.81
2023-12-01,19.535
2023-11-30,19.46
2023-11-29,19.195
2023-11-28,19.1025
2023-11-27,20.2125
2023-11-24,20.45
2023-11-22,20.1625
2023-11-21,20.005
2023-11-20,19.765
2023-11-17,19.7975
